,E,Cs
491,1473,0
492,1476,0
493,1479,0
494,1482,0
495,1485,0
496,1488,0
497,1491,0
498,1494,0
499,1497,0
500,1500,0
501,1503,0
502,1506,0
503,1509,0
504,1512,0
505,1515,0
506,1518,0
507,1521,0
508,1524,0
509,1527,0
510,1530,0
511,1533,0
512,1536,0
513,1539,0
514,1542,0
515,1545,0
516,1548,0
517,1551,0
518,1554,0
519,1557,0
520,1560,0
521,1563,0
522,1566,0
523,1569,0
524,1572,0
525,1575,0
526,1578,0
527,1581,0
528,1584,0
529,1587,0
530,1590,0
531,1593,0
532,1596,0
533,1599,0
534,1602,0
535,1605,0
536,1608,0
537,1611,0
538,1614,0
539,1617,0
540,1620,0
541,1623,0
542,1626,0
543,1629,0
544,1632,0
545,1635,0
546,1638,0
547,1641,0
548,1644,0
549,1647,0
550,1650,0
551,1653,0
552,1656,0
553,1659,0
554,1662,0
555,1665,0
556,1668,0
557,1671,0
558,1674,0
559,1677,0
560,1680,0
561,1683,0
562,1686,0
563,1689,0
564,1692,0
565,1695,0
566,1698,0
567,1701,0
568,1704,0
569,1707,0
570,1710,0
571,1713,0
572,1716,0
573,1719,0
574,1722,0
575,1725,0
576,1728,0
577,1731,0
578,1734,0
579,1737,0
580,1740,0
581,1743,0
582,1746,0
583,1749,0
584,1752,0
585,1755,0
586,1758,0
587,1761,0
588,1764,0
589,1767,0
590,1770,0
591,1773,0
592,1776,0
593,1779,0
594,1782,0
595,1785,0
596,1788,0
597,1791,0
598,1794,1
599,1797,0
600,1800,0
601,1803,0
602,1806,0
603,1809,0
604,1812,0
605,1815,0
606,1818,0
607,1821,0
608,1824,0
609,1827,0
610,1830,0
611,1833,0
612,1836,0
613,1839,0
614,1842,0
615,1845,0
616,1848,0
617,1851,0
618,1854,1
619,1857,0
620,1860,0
621,1863,0
622,1866,0
623,1869,0
624,1872,0
625,1875,0
626,1878,0
627,1881,0
628,1884,0
629,1887,0
630,1890,0
631,1893,0
632,1896,0
633,1899,0
634,1902,0
635,1905,0
636,1908,0
637,1911,0
638,1914,0
639,1917,0
640,1920,0
641,1923,0
642,1926,0
643,1929,0
644,1932,0
645,1935,0
646,1938,0
647,1941,0
648,1944,0
649,1947,0
650,1950,0
651,1953,0
652,1956,0
653,1959,0
654,1962,0
655,1965,0
656,1968,0
657,1971,0
658,1974,0
659,1977,0
660,1980,0
661,1983,0
662,1986,0
663,1989,0
664,1992,0
665,1995,0
666,1998,0
667,2001,0
668,2004,0
669,2007,0
670,2010,0
671,2013,0
672,2016,0
673,2019,0
674,2022,0
675,2025,0
676,2028,0
677,2031,0
678,2034,0
679,2037,0
680,2040,0
681,2043,0
682,2046,0
683,2049,0
684,2052,0
685,2055,0
686,2058,0
687,2061,0
688,2064,0
689,2067,0
690,2070,0
691,2073,0
692,2076,0
693,2079,0
694,2082,0
695,2085,0
696,2088,0
697,2091,0
698,2094,0
699,2097,0
700,2100,0
701,2103,0
702,2106,0
703,2109,0
704,2112,0
705,2115,0
706,2118,0
707,2121,0
708,2124,0
709,2127,0
710,2130,0
711,2133,0
712,2136,0
713,2139,0
714,2142,0
715,2145,0
716,2148,0
717,2151,0
718,2154,0
719,2157,0
720,2160,0
721,2163,0
722,2166,0
723,2169,0
724,2172,0
725,2175,0
726,2178,0
727,2181,0
728,2184,0
729,2187,0
730,2190,0
731,2193,0
732,2196,0
733,2199,0
734,2202,0
735,2205,0
736,2208,0
737,2211,0
738,2214,0
739,2217,0
740,2220,0
741,2223,0
742,2226,0
743,2229,0
744,2232,0
745,2235,0
746,2238,0
747,2241,0
748,2244,0
749,2247,0
750,2250,0
751,2253,0
752,2256,0
753,2259,0
754,2262,0
755,2265,0
756,2268,0
757,2271,0
758,2274,0
759,2277,0
760,2280,0
761,2283,0
762,2286,0
763,2289,0
764,2292,0
765,2295,0
766,2298,0
767,2301,0
768,2304,0
769,2307,0
770,2310,0
771,2313,0
772,2316,0
773,2319,0
774,2322,0
775,2325,0
776,2328,0
777,2331,0
778,2334,0
779,2337,0
780,2340,0
781,2343,0
782,2346,0
783,2349,0
784,2352,0
785,2355,0
786,2358,0
787,2361,0
788,2364,0
789,2367,0
790,2370,0
791,2373,0
792,2376,0
793,2379,0
794,2382,0
795,2385,0
796,2388,0
797,2391,0
798,2394,0
799,2397,0
800,2400,0
801,2403,0
802,2406,0
803,2409,0
804,2412,0
805,2415,0
806,2418,0
807,2421,0
808,2424,0
809,2427,0
810,2430,0
811,2433,0
812,2436,0
813,2439,0
814,2442,0
815,2445,0
816,2448,0
817,2451,0
818,2454,0
819,2457,0
820,2460,0
821,2463,0
822,2466,0
823,2469,0
824,2472,0
825,2475,0
826,2478,0
827,2481,0
828,2484,0
829,2487,0
830,2490,0
831,2493,0
832,2496,0
833,2499,0
834,2502,0
835,2505,0
836,2508,0
837,2511,0
838,2514,0
839,2517,0
840,2520,0
841,2523,0
842,2526,0
843,2529,0
844,2532,0
845,2535,0
846,2538,0
847,2541,0
848,2544,0
849,2547,0
850,2550,0
851,2553,0
852,2556,0
853,2559,0
854,2562,0
855,2565,0
856,2568,0
857,2571,0
858,2574,0
859,2577,0
860,2580,0
861,2583,0
862,2586,0
863,2589,0
864,2592,0
865,2595,0
866,2598,0
867,2601,0
868,2604,0
869,2607,0
870,2610,0
871,2613,0
872,2616,0
873,2619,0
874,2622,0
875,2625,0
876,2628,0
877,2631,0
878,2634,0
879,2637,0
880,2640,0
881,2643,0
882,2646,0
883,2649,0
884,2652,0
885,2655,0
886,2658,0
887,2661,0
888,2664,0
889,2667,0
890,2670,0
891,2673,0
892,2676,0
893,2679,0
894,2682,0
895,2685,0
896,2688,0
897,2691,0
898,2694,0
899,2697,0
900,2700,0
901,2703,0
902,2706,0
903,2709,0
904,2712,0
905,2715,0
906,2718,0
907,2721,0
908,2724,0
909,2727,0
910,2730,0
911,2733,0
912,2736,0
913,2739,0
914,2742,0
915,2745,0
916,2748,0
917,2751,0
918,2754,0
919,2757,0
920,2760,0
921,2763,0
922,2766,0
923,2769,0
924,2772,0
925,2775,0
926,2778,0
927,2781,0
928,2784,0
929,2787,0
930,2790,0
931,2793,0
932,2796,0
933,2799,0
934,2802,0
935,2805,0
936,2808,0
937,2811,0
938,2814,0
939,2817,0
940,2820,0
941,2823,0
942,2826,0
943,2829,0
944,2832,0
945,2835,0
946,2838,0
947,2841,0
948,2844,0
949,2847,0
950,2850,0
951,2853,0
952,2856,0
953,2859,0
954,2862,0
955,2865,0
956,2868,0
957,2871,0
958,2874,0
959,2877,0
960,2880,0
961,2883,0
962,2886,0
963,2889,0
964,2892,0
965,2895,0
966,2898,0
967,2901,0
968,2904,0
969,2907,0
970,2910,0
971,2913,0
972,2916,0
973,2919,0
974,2922,0
975,2925,0
976,2928,0
977,2931,0
978,2934,0
979,2937,0
980,2940,0
981,2943,0
982,2946,0
983,2949,0
984,2952,0
985,2955,0
986,2958,0
987,2961,0
988,2964,0
989,2967,0
990,2970,0
991,2973,0
992,2976,0
993,2979,0
994,2982,0
995,2985,0
996,2988,0
997,2991,0
998,2994,0
999,2997,0
1000,3000,0
1001,3003,0
1002,3006,0
1003,3009,0
1004,3012,0
1005,3015,0
1006,3018,0
1007,3021,0
1008,3024,0
1009,3027,0
1010,3030,0
1011,3033,0
1012,3036,0
1013,3039,0
1014,3042,0
1015,3045,0
1016,3048,0
1017,3051,0
1018,3054,0
1019,3057,0
1020,3060,0
1021,3063,0
1022,3066,0
1023,3069,0
